slug	original_name	new_name	directory
2025-uw-ai-robotics-summit-b	A7404366.JPG	2025-uw-ai-robotics-summit-b.jpg	/Users/pym/Pictures/events
2025-uw-ai-robotics-summit-c	A7404367.JPG	2025-uw-ai-robotics-summit-c.jpg	/Users/pym/Pictures/events
2025-uw-ai-robotics-summit-d	IMG_6321.JPG	2025-uw-ai-robotics-summit-d.jpg	/Users/pym/Pictures/events
2026-mlsys-b	HIpvlT1a8AAGzC9.jpeg	2026-mlsys-b.jpeg	/Users/pym/Pictures/events
2026-rlhf-book-launch-a	HPbPusTbEAA9h-P.jpeg	2026-rlhf-book-launch-a.jpeg	/Users/pym/Pictures/events
2026-rlhf-book-launch-b	IMG_7936.HEIC	2026-rlhf-book-launch-b.heic	/Users/pym/Pictures/events
2026-uw-msis-549-a	IMG_9835.jpg	2026-uw-msis-549-a.jpg	/Users/pym/Pictures/events
2026-uw-msis-549-b	IMG_9842.jpg	2026-uw-msis-549-b.jpg	/Users/pym/Pictures/events
2026-uw-msis-549-c	IMG_9844.jpg	2026-uw-msis-549-c.jpg	/Users/pym/Pictures/events
2026-uw-msis-549-d	IMG_8711.HEIC	2026-uw-msis-549-d.heic	/Users/pym/Pictures/events
2026-uw-msis-549-e	Gemini_Generated_Image_5kplve5kplve5kpl.jpg	2026-uw-msis-549-e.jpg	/Users/pym/Pictures/events
